序号	频率准确度	测试时间			
299	3.75E-12	2013-12-14 9:25	0	19999998950	44
300	4.38E-12	2013-12-14 9:25	0	19999998875	60
301	8.00E-12	2013-12-14 9:26	0	19999999575	7d
302	4.00E-12	2013-12-14 9:26	0	19999999500	8
303	4.00E-12	2013-12-14 9:26	0	19999999075	78
304	5.25E-12	2013-12-14 9:26	0	19999999575	7d
305	8.00E-12	2013-12-14 9:26	0	19999998900	14
306	2.13E-12	2013-12-14 9:26	0	19999999950	54
307	2.13E-12	2013-12-14 9:27	0	19999999150	5c
308	3.25E-12	2013-12-14 9:27	0	19999999025	28
309	8.00E-12	2013-12-14 9:27	0	19999998775	6f
310	2.88E-12	2013-12-14 9:27	0	19999998850	45
311	4.50E-12	2013-12-14 9:27	0	19999999200	0f
312	6.75E-12	2013-12-14 9:27	0	19999998975	61
313	9.25E-12	2013-12-14 9:28	0	19999998950	44
314	4.50E-12	2013-12-14 9:28	0	19999998675	6e
315	1.50E-12	2013-12-14 9:28	0	19999999325	2b
316	7.50E-12	2013-12-14 9:28	0	20000000275	70
317	8.75E-13	2013-12-14 9:28	0	19999999525	2d
318	3.13E-12	2013-12-14 9:28	0	19999999725	2f
319	5.50E-12	2013-12-14 9:29	0	19999999725	2f
320	4.00E-12	2013-12-14 9:29	0	19999999125	29
321	5.50E-12	2013-12-14 9:29	0	19999999825	20
322	6.88E-12	2013-12-14 9:29	0	20000000000	7
323	1.38E-12	2013-12-14 9:29	0	19999998600	1b
324	7.50E-13	2013-12-14 9:29	0	19999999450	59
325	7.75E-12	2013-12-14 9:30	0	19999999625	2e
326	-1.13E-12	2013-12-14 9:30	0	19999999150	5c
327	3.50E-12	2013-12-14 9:30	0	19999999925	21
328	2.50E-12	2013-12-14 9:30	0	19999999450	59
329	2.88E-12	2013-12-14 9:30	0	19999999300	0e
330	3.13E-12	2013-12-14 9:30	0	20000000250	55
331	4.00E-12	2013-12-14 9:31	0	19999999200	0f
332	4.13E-12	2013-12-14 9:31	0	19999998250	4f
333	6.25E-13	2013-12-14 9:31	0	19999999100	0c
334	-2.38E-12	2013-12-14 9:31	0	20000000075	72
335	-8.75E-13	2013-12-14 9:31	0	19999999425	2c
336	3.63E-12	2013-12-14 9:31	0	19999998875	60
337	3.75E-13	2013-12-14 9:32	0	19999999800	5
338	1.50E-12	2013-12-14 9:32	0	19999999925	21
339	2.88E-12	2013-12-14 9:32	0	19999998925	31
340	3.63E-12	2013-12-14 9:32	0	19999999800	5
341	3.63E-12	2013-12-14 9:32	0	20000000000	7
342	3.38E-12	2013-12-14 9:32	0	19999998875	60
343	1.13E-12	2013-12-14 9:33	0	19999999200	0f
344	3.75E-12	2013-12-14 9:33	0	19999999175	79
345	3.88E-12	2013-12-14 9:33	0	19999999025	28
346	1.50E-12	2013-12-14 9:33	0	20000000225	20
347	3.63E-12	2013-12-14 9:33	0	19999999325	2b
348	2.50E-13	2013-12-14 9:33	0	19999999375	7b
349	7.50E-13	2013-12-14 9:34	0	20000000425	26
350	-1.13E-12	2013-12-14 9:34	0	19999999850	55
351	1.38E-12	2013-12-14 9:34	0	19999999250	5f
352	-7.50E-13	2013-12-14 9:34	0	19999998750	4a
353	1.38E-12	2013-12-14 9:34	0	19999999700	0a
354	5.00E-13	2013-12-14 9:34	0	19999999400	9
355	4.88E-12	2013-12-14 9:35	0	19999998975	61
356	-2.50E-13	2013-12-14 9:35	0	19999999200	0f
357	-1.50E-12	2013-12-14 9:35	0	19999999400	9
358	3.63E-12	2013-12-14 9:35	0	19999998675	6e
359	-1.88E-12	2013-12-14 9:35	0	19999999575	7d
360	-2.50E-13	2013-12-14 9:35	0	19999999800	5
361	-4.25E-12	2013-12-14 9:36	0	19999998950	44
362	-3.00E-12	2013-12-14 9:36	0	19999999325	2b
363	-1.63E-12	2013-12-14 9:36	0	19999999725	2f
364	3.75E-13	2013-12-14 9:36	0	19999999225	2a
365	5.00E-14	2013-12-14 9:36	0	19999999350	5e
366	2.50E-13	2013-12-14 9:36	0	19999999325	2b
367	-5.75E-12	2013-12-14 9:37	0	19999999675	7e
368	-1.50E-12	2013-12-14 9:37	0	19999999575	7d
369	6.00E-12	2013-12-14 9:37	0	19999999475	7c
370	-4.13E-12	2013-12-14 9:37	0	19999999900	4
371	-5.38E-12	2013-12-14 9:37	0	19999998650	4b
372	-2.50E-12	2013-12-14 9:37	0	19999998525	3d
373	2.63E-12	2013-12-14 9:38	0	19999999225	2a
374	-2.50E-13	2013-12-14 9:38	0	19999999200	0f
375	-1.63E-12	2013-12-14 9:38	0	20000000325	21
376	-4.88E-12	2013-12-14 9:38	0	19999999800	5
377	-8.75E-12	2013-12-14 9:38	0	19999999300	0e
378	-8.75E-12	2013-12-14 9:38	0	19999998950	44
379	-6.13E-12	2013-12-14 9:39	0	19999998275	6a
380	-1.25E-13	2013-12-14 9:39	0	19999999675	7e
381	-8.50E-12	2013-12-14 9:39	0	19999999600	0b
382	-1.63E-12	2013-12-14 9:39	0	19999999375	7b
383	-4.13E-12	2013-12-14 9:39	0	19999999775	7f
384	-3.38E-12	2013-12-14 9:39	0	20000000000	7
385	-3.38E-12	2013-12-14 9:40	0	19999998550	48
386	-3.00E-12	2013-12-14 9:40	0	19999999675	7e
387	-1.63E-12	2013-12-14 9:40	0	19999999400	9
388	-9.50E-12	2013-12-14 9:40	0	19999998975	61
389	-6.75E-12	2013-12-14 9:40	0	19999998950	44
390	-3.75E-12	2013-12-14 9:40	0	19999999675	7e
391	-4.13E-12	2013-12-14 9:41	0	19999999150	5c
392	-6.13E-12	2013-12-14 9:41	0	19999999850	55
393	-4.25E-12	2013-12-14 9:41	0	19999999150	5c
394	-5.75E-12	2013-12-14 9:41	0	19999999625	2e
395	1.63E-12	2013-12-14 9:41	0	19999998300	1e
396	-2.38E-12	2013-12-14 9:41	0	19999999700	0a
397	-7.75E-12	2013-12-14 9:42	0	19999999425	2c
398	-6.00E-12	2013-12-14 9:42	0	19999999325	2b
399	-7.13E-12	2013-12-14 9:42	0	19999999725	2f
400	-6.25E-12	2013-12-14 9:42	0	19999998650	4b
401	-6.25E-12	2013-12-14 9:42	0	19999998825	30
402	-3.63E-12	2013-12-14 9:42	0	19999999125	29
403	-8.88E-12	2013-12-14 9:43	0	19999999250	5f
404	-6.75E-12	2013-12-14 9:43	0	19999999475	7c
405	-4.00E-12	2013-12-14 9:43	0	19999999100	0c
406	-8.63E-12	2013-12-14 9:43	0	19999999900	4
407	-6.38E-12	2013-12-14 9:43	0	19999999450	59
408	-9.25E-12	2013-12-14 9:43	0	19999999100	0c
409	-7.75E-12	2013-12-14 9:44	0	19999999250	5f
410	-6.88E-12	2013-12-14 9:44	0	19999999200	0f
411	-7.88E-12	2013-12-14 9:44	0	19999999150	5c
412	-8.25E-12	2013-12-14 9:44	0	19999999500	8
413	-9.63E-12	2013-12-14 9:44	0	19999999775	7f
414	-1.01E-11	2013-12-14 9:44	0	19999999225	2a
415	-2.38E-12	2013-12-14 9:45	0	19999999450	59
416	-1.38E-12	2013-12-14 9:45	0	19999999325	2b
417	-8.00E-12	2013-12-14 9:45	0	19999998900	14
418	-1.00E-11	2013-12-14 9:45	0	19999999025	28
419	-8.63E-12	2013-12-14 9:45	0	19999999150	5c
420	-5.00E-12	2013-12-14 9:45	0	19999998975	61
421	-5.38E-12	2013-12-14 9:46	0	19999997875	ffffff90
422	-1.28E-11	2013-12-14 9:46	0	19999999825	20
423	-8.25E-12	2013-12-14 9:46	0	19999999725	2f
424	-9.63E-12	2013-12-14 9:46	0	19999999300	0e
425	-6.88E-12	2013-12-14 9:46	0	19999998950	44
426	-3.75E-12	2013-12-14 9:46	0	19999999125	29
427	-7.75E-12	2013-12-14 9:47	0	19999999425	2c
428	-7.75E-12	2013-12-14 9:47	0	19999999525	2d
429	-9.38E-12	2013-12-14 9:47	0	19999998875	60
430	-4.63E-12	2013-12-14 9:47	0	19999999300	0e
431	-1.04E-11	2013-12-14 9:47	0	19999998750	4a
432	-6.88E-12	2013-12-14 9:47	0	19999999575	7d
433	-4.13E-12	2013-12-14 9:48	0	19999998475	6c
434	-1.03E-11	2013-12-14 9:48	0	19999999825	20
435	-8.75E-12	2013-12-14 9:48	0	19999999725	2f
436	-5.38E-12	2013-12-14 9:48	0	19999999500	8
437	-8.38E-12	2013-12-14 9:48	0	19999998900	14
438	-9.25E-12	2013-12-14 9:48	0	19999998700	1a
439	-8.88E-12	2013-12-14 9:49	0	19999998925	31
440	-6.38E-12	2013-12-14 9:49	0	19999999200	0f
441	-8.75E-12	2013-12-14 9:49	0	20000000375	71
442	-3.75E-12	2013-12-14 9:49	0	19999999500	8
